epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
1,2569.09,2.24957,5.83571,0.0264,0.47095,0.01936,0.02091,0.00669,2.03848,4.25087,0.02854,0.00999758,0.00333253,0.00999758,0.00333253,0.00999758,0.00333253,0.00999758,0.00333253
2,4446.37,1.95101,3.95054,0.02176,0.19651,0.11007,0.05244,0.01985,1.87148,3.27673,0.02585,0.0196016,0.00653387,0.0196016,0.00653387,0.0196016,0.00653387,0.0196016,0.00653387
3,6655.66,1.96665,3.76453,0.02185,0.12936,0.14018,0.06449,0.02779,1.78527,2.98038,0.02388,0.0288097,0.00960322,0.0288097,0.00960322,0.0288097,0.00960322,0.0288097,0.00960322
4,8011.53,1.94872,3.60286,0.0215,0.25455,0.35627,0.21252,0.10024,1.65453,2.41395,0.02193,0.028218,0.009406,0.028218,0.009406,0.028218,0.009406,0.028218,0.009406
5,9221.9,1.8689,3.3177,0.02031,0.34385,0.374,0.26792,0.14537,1.48823,2.20361,0.01945,0.027624,0.009208,0.027624,0.009208,0.027624,0.009208,0.027624,0.009208
6,10417.6,1.82551,3.1587,0.01974,0.40639,0.46978,0.3838,0.22665,1.42658,1.88769,0.01875,0.02703,0.00901,0.02703,0.00901,0.02703,0.00901,0.02703,0.00901
7,11607.9,1.77702,3.02557,0.01914,0.41602,0.5632,0.39993,0.25047,1.33724,1.76868,0.01689,0.026436,0.008812,0.026436,0.008812,0.026436,0.008812,0.026436,0.008812
8,12797.8,1.762,2.92233,0.01895,0.40905,0.59601,0.39732,0.25904,1.27523,1.64082,0.01591,0.025842,0.008614,0.025842,0.008614,0.025842,0.008614,0.025842,0.008614
9,13984.9,1.73313,2.87648,0.01856,0.42558,0.62811,0.42637,0.28005,1.24824,1.58248,0.01556,0.025248,0.008416,0.025248,0.008416,0.025248,0.008416,0.025248,0.008416
10,15175.6,1.7111,2.8285,0.01822,0.42715,0.61881,0.44727,0.29895,1.2206,1.57072,0.015,0.024654,0.008218,0.024654,0.008218,0.024654,0.008218,0.024654,0.008218
11,16365.9,1.69553,2.77241,0.01807,0.44111,0.64207,0.43072,0.28815,1.19963,1.5554,0.01465,0.02406,0.00802,0.02406,0.00802,0.02406,0.00802,0.02406,0.00802
12,17554.4,1.67675,2.73089,0.01781,0.43965,0.64804,0.43852,0.30044,1.1682,1.53562,0.01424,0.023466,0.007822,0.023466,0.007822,0.023466,0.007822,0.023466,0.007822
13,18747.6,1.66226,2.69048,0.0177,0.44393,0.65452,0.44214,0.3065,1.14719,1.51649,0.01397,0.022872,0.007624,0.022872,0.007624,0.022872,0.007624,0.022872,0.007624
14,19936.8,1.64911,2.66315,0.01744,0.44194,0.66459,0.43824,0.30483,1.13129,1.48967,0.01371,0.022278,0.007426,0.022278,0.007426,0.022278,0.007426,0.022278,0.007426
15,21134.5,1.6351,2.63171,0.01723,0.44366,0.67138,0.43921,0.30597,1.1227,1.46762,0.01356,0.021684,0.007228,0.021684,0.007228,0.021684,0.007228,0.021684,0.007228
16,22339.2,1.62981,2.60732,0.01714,0.44608,0.67671,0.44873,0.3134,1.11565,1.45045,0.01344,0.02109,0.00703,0.02109,0.00703,0.02109,0.00703,0.02109,0.00703
17,23529.9,1.61564,2.58237,0.01708,0.44589,0.68021,0.45356,0.3177,1.10601,1.43881,0.01327,0.020496,0.006832,0.020496,0.006832,0.020496,0.006832,0.020496,0.006832
18,24722.6,1.60213,2.55876,0.01689,0.45036,0.68012,0.45626,0.32032,1.10069,1.42922,0.01317,0.019902,0.006634,0.019902,0.006634,0.019902,0.006634,0.019902,0.006634
19,25919.8,1.59733,2.53606,0.01682,0.4531,0.68521,0.46089,0.32544,1.09145,1.41273,0.01303,0.019308,0.006436,0.019308,0.006436,0.019308,0.006436,0.019308,0.006436
20,27114.4,1.58065,2.52079,0.01657,0.45618,0.69181,0.46436,0.32837,1.0865,1.40206,0.01293,0.018714,0.006238,0.018714,0.006238,0.018714,0.006238,0.018714,0.006238
21,28319.9,1.56823,2.50203,0.01647,0.46047,0.69183,0.46529,0.33015,1.0807,1.39032,0.01285,0.01812,0.00604,0.01812,0.00604,0.01812,0.00604,0.01812,0.00604
22,29523.6,1.558,2.48524,0.01633,0.45793,0.69499,0.46603,0.33169,1.07436,1.38335,0.01272,0.017526,0.005842,0.017526,0.005842,0.017526,0.005842,0.017526,0.005842
23,30731,1.54701,2.45944,0.01618,0.45964,0.69981,0.4675,0.33443,1.06297,1.37071,0.01256,0.016932,0.005644,0.016932,0.005644,0.016932,0.005644,0.016932,0.005644
24,31918.4,1.53909,2.44882,0.01612,0.46226,0.70397,0.47016,0.33736,1.053,1.35814,0.01241,0.016338,0.005446,0.016338,0.005446,0.016338,0.005446,0.016338,0.005446
25,33104.3,1.52285,2.42986,0.01585,0.46282,0.70799,0.47344,0.34113,1.0465,1.34917,0.01231,0.015744,0.005248,0.015744,0.005248,0.015744,0.005248,0.015744,0.005248
26,34292,1.51431,2.41694,0.01577,0.46151,0.71365,0.47644,0.34456,1.0398,1.33966,0.01221,0.01515,0.00505,0.01515,0.00505,0.01515,0.00505,0.01515,0.00505
27,35482,1.5028,2.40008,0.01562,0.46224,0.71888,0.47601,0.34476,1.03311,1.33135,0.01213,0.014556,0.004852,0.014556,0.004852,0.014556,0.004852,0.014556,0.004852
28,36669.5,1.49425,2.38934,0.01551,0.46281,0.71855,0.47722,0.34694,1.02301,1.32579,0.01201,0.013962,0.004654,0.013962,0.004654,0.013962,0.004654,0.013962,0.004654
29,37859.5,1.47149,2.37597,0.01521,0.46238,0.72401,0.48046,0.35005,1.01615,1.31962,0.01194,0.013368,0.004456,0.013368,0.004456,0.013368,0.004456,0.013368,0.004456
30,39049.4,1.47365,2.35096,0.01522,0.46592,0.72272,0.48673,0.3558,1.00825,1.31025,0.01183,0.012774,0.004258,0.012774,0.004258,0.012774,0.004258,0.012774,0.004258
31,40239.4,1.45638,2.34006,0.01503,0.46643,0.72718,0.49235,0.36104,1.00366,1.30051,0.01177,0.01218,0.00406,0.01218,0.00406,0.01218,0.00406,0.01218,0.00406
32,41429.7,1.45601,2.31151,0.01497,0.46726,0.73003,0.49473,0.36328,1.00172,1.29512,0.01173,0.011586,0.003862,0.011586,0.003862,0.011586,0.003862,0.011586,0.003862
33,42621.5,1.44071,2.31349,0.01486,0.46803,0.73562,0.50029,0.36903,0.99539,1.28196,0.01164,0.010992,0.003664,0.010992,0.003664,0.010992,0.003664,0.010992,0.003664
34,43813.8,1.42894,2.27729,0.0147,0.47088,0.73926,0.50249,0.37199,0.98812,1.27238,0.01154,0.010398,0.003466,0.010398,0.003466,0.010398,0.003466,0.010398,0.003466
35,45005,1.41385,2.25957,0.0145,0.47321,0.73994,0.50652,0.37684,0.98088,1.26355,0.01145,0.009804,0.003268,0.009804,0.003268,0.009804,0.003268,0.009804,0.003268
36,46193.9,1.39897,2.24752,0.01431,0.47512,0.74357,0.51295,0.38315,0.97384,1.25406,0.01136,0.00921,0.00307,0.00921,0.00307,0.00921,0.00307,0.00921,0.00307
37,47393.3,1.3967,2.24759,0.01428,0.47758,0.74516,0.51619,0.38678,0.96863,1.24649,0.0113,0.008616,0.002872,0.008616,0.002872,0.008616,0.002872,0.008616,0.002872
38,48589.9,1.3722,2.22279,0.01406,0.47737,0.74885,0.51385,0.38618,0.96202,1.24261,0.01123,0.008022,0.002674,0.008022,0.002674,0.008022,0.002674,0.008022,0.002674
39,49905.2,1.36846,2.21298,0.014,0.47747,0.74889,0.51335,0.3874,0.9541,1.24078,0.01114,0.007428,0.002476,0.007428,0.002476,0.007428,0.002476,0.007428,0.002476
40,51003.3,1.35388,2.19903,0.01383,0.47784,0.74911,0.51331,0.38807,0.94832,1.23688,0.01109,0.006834,0.002278,0.006834,0.002278,0.006834,0.002278,0.006834,0.002278
41,52312.6,1.125,1.60416,0.01378,0.47703,0.75823,0.51387,0.39041,0.93639,1.20643,0.01092,0.00624,0.00208,0.00624,0.00208,0.00624,0.00208,0.00624,0.00208
42,53589.4,1.07632,1.56572,0.01297,0.47871,0.76914,0.51774,0.39555,0.92364,1.17026,0.01072,0.005646,0.001882,0.005646,0.001882,0.005646,0.001882,0.005646,0.001882
43,54822.2,1.05314,1.54602,0.01266,0.4763,0.78223,0.51941,0.39876,0.91157,1.14248,0.01055,0.005052,0.001684,0.005052,0.001684,0.005052,0.001684,0.005052,0.001684
44,56029.6,1.03257,1.52842,0.01239,0.47855,0.78868,0.5231,0.40395,0.90208,1.11888,0.01039,0.004458,0.001486,0.004458,0.001486,0.004458,0.001486,0.004458,0.001486
45,57234.6,1.01412,1.50768,0.0121,0.47777,0.79862,0.52035,0.40291,0.89558,1.10139,0.01029,0.003864,0.001288,0.003864,0.001288,0.003864,0.001288,0.003864,0.001288
46,58453.1,0.98638,1.50088,0.01165,0.47785,0.80495,0.51622,0.40041,0.88985,1.08853,0.01018,0.00327,0.00109,0.00327,0.00109,0.00327,0.00109,0.00327,0.00109
47,59655.7,0.96451,1.49126,0.01144,0.47837,0.80764,0.51256,0.39817,0.88739,1.07736,0.01013,0.002676,0.000892,0.002676,0.000892,0.002676,0.000892,0.002676,0.000892
48,60862.4,0.94406,1.47821,0.01117,0.47961,0.8097,0.51082,0.39778,0.88391,1.06856,0.01006,0.002082,0.000694,0.002082,0.000694,0.002082,0.000694,0.002082,0.000694
49,62069,0.93302,1.46794,0.01101,0.47969,0.81171,0.5098,0.39806,0.88047,1.06076,0.00999,0.001488,0.000496,0.001488,0.000496,0.001488,0.000496,0.001488,0.000496
50,63270.3,0.9184,1.45587,0.01085,0.48093,0.81391,0.51177,0.40022,0.87951,1.05394,0.00995,0.000894,0.000298,0.000894,0.000298,0.000894,0.000298,0.000894,0.000298
